t_us, Position.x, Position.y, Height, Heading, Velocity.x, Velocity.y, u_vx, u_vy, Omega.z, u_x, u_y, u_yaw, m1, m2, m3, m4
2575952,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,125,125,125,125
2591407,0.000,0.000,0.009,0.000,0.000,0.001,0.000,0.000,0.002,0.000,0.000,0.000,120,120,120,120
2593627,0.000,0.000,0.015,0.000,0.000,0.002,0.000,0.000,0.003,0.000,0.000,0.000,120,120,120,120
2601562,0.000,0.000,0.020,0.000,0.000,0.002,0.000,0.000,0.005,0.000,0.000,0.000,120,120,120,120
2609499,0.000,0.000,0.023,0.000,0.000,0.002,0.000,0.000,0.006,0.000,0.000,0.000,120,120,120,120
2617428,0.000,0.000,0.025,0.000,0.000,0.002,0.000,0.000,0.006,0.000,0.000,0.000,120,120,120,120
2625359,0.000,0.000,0.026,0.000,0.000,0.002,0.000,0.000,0.007,0.000,0.000,0.000,120,120,120,120
2633293,0.000,0.000,0.028,0.000,0.000,0.002,0.000,0.000,0.008,0.000,0.000,0.000,120,120,120,120
2641223,0.000,0.000,0.028,0.000,0.000,0.002,0.000,0.000,0.010,0.000,0.000,0.000,120,120,120,120
2649158,0.000,0.000,0.029,0.000,0.000,0.001,0.000,0.000,0.011,0.000,0.000,0.000,120,120,120,120
2657090,0.000,0.000,0.029,0.000,0.000,0.001,0.000,0.000,0.013,0.000,0.000,0.000,120,120,120,120
2665024,0.000,0.000,0.029,0.000,0.000,0.001,0.000,0.000,0.014,0.000,0.000,0.000,120,120,120,120
2672956,0.000,0.000,0.030,0.000,0.000,0.001,0.000,0.000,0.015,0.000,0.000,0.000,120,120,120,120
2680888,0.000,0.000,0.030,0.000,0.000,0.001,0.000,0.000,0.016,0.000,0.000,0.000,120,120,120,120
2688822,0.000,0.000,0.030,0.000,0.000,0.001,0.000,0.000,0.016,0.000,0.000,0.000,120,120,120,120
