t_us, Position.x, Position.y, Height, Heading, Velocity.x, Velocity.y, OF_raw_x, OF_raw_y, Omega.z, u_x, u_y, u_yaw, m1, m2, m3, m4
3489076,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,125,125,125,125
3500758,0.000,0.000,0.237,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
3504976,0.000,0.000,0.403,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,120,120,120,120
3512883,0.000,0.000,0.519,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,120,120,120,120
3520792,0.000,0.000,0.600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,120,120,120,120
3528695,0.000,0.000,0.660,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,120,120,120,120
3536600,0.000,0.000,0.696,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
3544504,0.000,0.000,0.721,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
3552410,0.000,0.000,0.745,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
3560314,0.000,0.000,0.758,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
3568220,0.000,0.000,0.768,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,120,120,120,120
3576125,0.000,0.000,0.775,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,120,120,120,120
3584029,0.000,0.000,0.776,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,120,120,120,120
3591934,0.000,0.000,0.780,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,120,120,120,120
3599840,0.000,0.000,0.783,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,120,120,120,120
3607746,0.000,0.000,0.785,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,120,120,120,120
3615648,0.000,0.000,0.784,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,120,120,120,120
3623552,0.000,0.000,0.783,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,120,120,120,120
3631457,0.000,0.000,0.782,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,120,120,120,120
3639364,0.000,0.000,0.781,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,120,120,120,120
3647268,0.000,0.000,0.781,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,120,120,120,120
3655171,0.000,0.000,0.781,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
3663076,0.000,0.000,0.783,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
3670975,0.000,0.000,0.785,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
3678886,0.000,0.000,0.787,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
3686791,0.000,0.000,0.788,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
3694697,0.000,0.000,0.788,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
3702601,0.000,0.000,0.786,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
3710505,0.000,0.000,0.787,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
3718404,0.000,0.000,0.791,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
3726313,0.000,0.000,0.791,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
3734219,0.000,0.000,0.790,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,120,120,120,120
3742124,0.000,0.000,0.790,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,120,120,120,120
3750030,0.000,0.000,0.790,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,120,120,120,120
3757935,0.000,0.000,0.790,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,120,120,120,120
3765840,0.000,0.000,0.790,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,120,120,120,120
3773745,0.000,0.000,0.787,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,120,120,120,120
3781649,0.000,0.000,0.788,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,120,120,120,120
3789556,0.000,0.000,0.789,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,120,120,120,120
3797459,0.000,0.000,0.789,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,120,120,120,120
3805364,0.000,0.000,0.789,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,120,120,120,120
3813270,0.000,0.000,0.793,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,120,120,120,120
3821175,0.000,0.000,0.792,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,120,120,120,120
3829085,0.000,0.000,0.791,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,120,120,120,120
3836984,0.000,0.000,0.791,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,120,120,120,120
3844896,0.000,0.000,0.791,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,120,120,120,120
3852795,0.000,0.000,0.790,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,120,120,120,120
3860700,0.000,0.000,0.790,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,120,120,120,120
3868607,0.000,0.000,0.787,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
3876509,0.000,0.000,0.788,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
3884413,0.000,0.000,0.789,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,120,120,120,120
3892321,0.000,0.000,0.786,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
3900221,0.000,0.000,0.787,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,120,120,120,120
3908131,0.000,0.000,0.788,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,120,120,120,120
3916037,0.000,0.000,0.789,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
3923939,0.000,0.000,0.789,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
3931844,0.000,0.000,0.789,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
3939751,0.000,0.000,0.790,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,120,120,120,120
3947657,0.000,0.000,0.787,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
3955559,0.000,0.000,0.788,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,120,120,120,120
3963466,0.000,0.000,0.788,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,120,120,120,120
3971368,0.000,0.000,0.789,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,120,120,120,120
3979275,0.000,0.000,0.789,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
3987180,0.000,0.000,0.789,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
3995085,0.000,0.000,0.790,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,120,120,120,120
4002991,0.000,0.000,0.790,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,120,120,120,120
4010894,0.000,0.000,0.790,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,120,120,120,120
4018802,0.000,0.000,0.790,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,120,120,120,120
4026705,0.000,0.000,0.790,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,120,120,120,120
4034610,0.000,0.000,0.787,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,120,120,120,120
4042515,0.000,0.000,0.788,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
4050420,0.000,0.000,0.785,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
