t_us, Height, Velocity.x, Velocity.y, OF_raw_x, OF_raw_y, Omega.x, Omega.y, Omega.z, Acc.x, Acc.y, Acc.z
3041510,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3057043,0.006,0.000,0.000,0.003,0.002,-0.005,0.001,-0.001,-0.030,0.015,1.368
3063431,0.013,0.000,0.000,0.000,0.000,-0.008,0.002,-0.001,-0.066,0.027,2.583
3071382,0.012,0.000,0.000,0.000,0.000,-0.011,0.002,-0.001,-0.092,0.033,3.626
3079330,0.009,0.000,0.000,0.000,0.000,-0.012,0.002,-0.001,-0.116,0.036,4.453
3087280,0.012,0.000,0.000,0.000,0.000,-0.013,0.003,-0.001,-0.151,0.055,5.219
3095230,0.011,0.000,0.000,0.000,0.000,-0.013,0.002,-0.001,-0.160,0.060,5.836
3103183,0.011,0.000,0.000,0.000,0.000,-0.015,0.002,-0.001,-0.172,0.064,6.417
3111130,0.011,0.000,0.000,0.000,0.000,-0.014,0.002,-0.001,-0.177,0.062,6.888
3119083,0.010,0.000,0.000,0.000,0.000,-0.014,0.002,-0.001,-0.179,0.067,7.286
3127033,0.013,0.000,0.000,0.000,0.000,-0.014,0.002,-0.001,-0.191,0.076,7.656
3134983,0.012,-0.000,-0.000,-0.004,-0.004,-0.015,0.002,-0.001,-0.182,0.070,7.958
3142933,0.012,-0.000,-0.000,0.000,0.000,-0.015,0.002,-0.000,-0.193,0.081,8.238
3150884,0.014,-0.000,-0.000,0.000,0.000,-0.016,0.002,-0.001,-0.203,0.102,8.467
3158831,0.013,-0.000,-0.000,0.004,0.000,-0.016,0.003,-0.002,-0.211,0.107,8.662
3166781,0.012,0.000,-0.000,0.000,0.000,-0.017,0.003,-0.001,-0.196,0.093,8.838
3174731,0.011,0.000,-0.000,0.000,0.000,-0.017,0.002,-0.001,-0.195,0.096,8.972
3182683,0.014,0.000,-0.000,0.000,0.000,-0.017,0.002,-0.001,-0.192,0.099,9.088
3190634,0.013,0.000,-0.000,0.000,0.000,-0.017,0.002,-0.001,-0.206,0.093,9.193
3198583,0.009,0.000,-0.000,0.000,0.000,-0.015,0.003,-0.001,-0.208,0.095,9.288
3206537,0.006,-0.000,-0.000,-0.002,0.000,-0.016,0.003,-0.002,-0.212,0.103,9.383
3214486,0.007,-0.000,-0.000,0.000,0.000,-0.016,0.003,-0.001,-0.213,0.093,9.433
3222437,0.014,-0.000,-0.000,0.000,0.000,-0.015,0.003,-0.001,-0.219,0.088,9.484
3230382,0.016,-0.000,-0.000,0.000,0.000,-0.015,0.004,-0.001,-0.224,0.103,9.534
3238331,0.014,-0.000,-0.000,0.000,0.000,-0.015,0.003,-0.002,-0.227,0.103,9.578
3246279,0.013,-0.000,-0.000,0.000,0.000,-0.016,0.004,-0.002,-0.211,0.101,9.638
3254231,0.018,0.000,0.000,0.005,0.005,-0.016,0.003,-0.002,-0.218,0.100,9.639
3262180,0.022,0.001,0.001,0.000,0.000,-0.016,0.004,-0.002,-0.218,0.087,9.675
3270131,0.024,0.001,0.001,0.000,0.000,-0.016,0.003,-0.002,-0.224,0.093,9.705
3278086,0.023,0.001,0.001,0.000,0.000,-0.016,0.004,-0.001,-0.210,0.082,9.726
3286035,0.022,0.001,0.001,0.000,0.000,-0.016,0.004,-0.001,-0.213,0.091,9.742
3293981,0.018,0.000,0.000,0.000,0.000,-0.017,0.003,-0.001,-0.226,0.090,9.752
3301929,0.016,0.000,0.000,0.000,0.000,-0.017,0.002,-0.001,-0.231,0.101,9.777
3309880,0.014,0.000,0.000,0.000,0.000,-0.016,0.002,-0.001,-0.237,0.093,9.776
3317829,0.010,0.000,0.000,0.000,0.000,-0.017,0.003,-0.002,-0.251,0.098,9.815
3325780,0.010,0.000,0.000,0.000,0.000,-0.016,0.004,-0.002,-0.233,0.090,9.806
3333727,0.007,-0.000,0.000,-0.002,0.000,-0.017,0.003,-0.002,-0.230,0.100,9.815
3341665,0.005,-0.000,0.000,0.000,0.000,-0.017,0.004,-0.002,-0.219,0.085,9.819
3349625,0.009,-0.000,0.000,0.000,0.000,-0.016,0.004,-0.001,-0.219,0.085,9.828
3357577,0.013,-0.000,0.000,0.000,0.000,-0.017,0.004,-0.001,-0.215,0.078,9.832
3365526,0.009,-0.000,0.000,0.000,0.000,-0.017,0.003,-0.001,-0.234,0.094,9.830
3373475,0.006,-0.000,0.000,0.000,0.000,-0.017,0.003,-0.002,-0.243,0.110,9.827
3381428,0.007,-0.000,0.000,0.000,0.000,-0.017,0.003,-0.001,-0.224,0.086,9.832
3389376,0.011,-0.000,0.000,0.000,0.000,-0.017,0.003,-0.001,-0.219,0.090,9.840
3397328,0.011,0.000,0.000,0.003,0.003,-0.017,0.004,-0.002,-0.236,0.101,9.850
3405273,0.014,0.000,0.000,0.000,0.000,-0.018,0.004,-0.002,-0.223,0.095,9.842
3413224,0.012,0.000,0.000,0.000,0.000,-0.018,0.004,-0.001,-0.230,0.088,9.837
3421172,0.015,0.000,0.000,0.000,0.000,-0.017,0.004,-0.001,-0.228,0.090,9.822
3429121,0.013,0.000,0.000,0.000,0.000,-0.017,0.003,-0.001,-0.218,0.090,9.813
3437071,0.015,-0.000,-0.000,-0.004,-0.004,-0.017,0.002,-0.001,-0.221,0.093,9.831
3445021,0.017,-0.001,-0.001,-0.005,-0.005,-0.017,0.002,-0.001,-0.206,0.087,9.824
3452971,0.018,-0.001,-0.001,-0.005,0.000,-0.016,0.001,-0.000,-0.206,0.080,9.819
3460918,0.015,-0.002,-0.001,0.000,0.000,-0.016,0.002,-0.001,-0.223,0.094,9.837
3468870,0.011,-0.001,-0.001,0.003,0.000,-0.016,0.003,-0.001,-0.225,0.097,9.834
3476823,0.008,-0.001,-0.001,0.002,0.000,-0.017,0.002,-0.001,-0.216,0.089,9.838
3484768,0.011,-0.001,-0.001,0.000,0.000,-0.017,0.002,-0.001,-0.225,0.090,9.830
3492717,0.017,-0.000,-0.001,0.000,0.000,-0.017,0.002,-0.001,-0.235,0.097,9.846
3500666,0.015,-0.000,-0.000,0.000,0.000,-0.016,0.003,-0.001,-0.241,0.097,9.843
3508615,0.010,-0.000,-0.000,0.000,0.000,-0.016,0.002,-0.001,-0.229,0.091,9.841
3516571,0.007,-0.000,-0.000,0.000,0.000,-0.017,0.003,-0.000,-0.239,0.100,9.863
